,ano,mês,dia,despesas,favorecido
0,2016.0,Sep,1.0,2000.0,salário e auxílio alimentação
1,2016.0,Sep,2.0,363.0,ração e agropecuária
2,2016.0,Sep,2.0,10.0,transporte
3,2016.0,Sep,2.0,143.57,transporte
4,2016.0,Sep,2.0,50.0,outros
5,2016.0,Sep,2.0,4260.0,salário e auxílio alimentação
6,2016.0,Sep,5.0,80.0,transporte
7,2016.0,Sep,5.0,12.9,salário e auxílio alimentação
8,2016.0,Sep,5.0,40.0,outros
9,2016.0,Sep,5.0,63.0,"taxas, tarifas e impostos"
10,2016.0,Sep,6.0,269.0,ração e agropecuária
11,2016.0,Sep,6.0,15.0,transporte
12,2016.0,Sep,8.0,20.0,outros
13,2016.0,Sep,9.0,413.0,ração e agropecuária
14,2016.0,Sep,9.0,13.0,medicações e veterinário
15,2016.0,Sep,12.0,360.0,ração e agropecuária
16,2016.0,Sep,12.0,100.0,transporte
17,2016.0,Sep,12.0,100.0,outros
18,2016.0,Sep,12.0,82.5,hospedagem e manutenção de canis
19,2016.0,Sep,14.0,10.0,outros
20,2016.0,Sep,15.0,39.9,ração e agropecuária
21,2016.0,Sep,15.0,70.0,outros
22,2016.0,Sep,16.0,290.0,hospedagem e manutenção de canis
23,2016.0,Sep,19.0,100.0,transporte
24,2016.0,Sep,19.0,144.0,ração e agropecuária
25,2016.0,Sep,19.0,120.0,outros
26,2016.0,Sep,20.0,140.0,ração e agropecuária
27,2016.0,Sep,21.0,92.2,ração e agropecuária
28,2016.0,Sep,21.0,450.0,outros
29,2016.0,Sep,21.0,10000.0,medicações e veterinário
30,2016.0,Sep,21.0,8.6,"taxas, tarifas e impostos"
31,2016.0,Sep,22.0,212.9,ração e agropecuária
32,2016.0,Sep,22.0,100.0,outros
33,2016.0,Sep,26.0,100.0,transporte
34,2016.0,Sep,26.0,200.0,outros
35,2016.0,Sep,27.0,30.0,transporte
36,2016.0,Sep,27.0,15.0,outros
37,2016.0,Sep,28.0,100.0,transporte
38,2016.0,Sep,28.0,54.9,ração e agropecuária
39,2016.0,Sep,29.0,900.0,outros
40,2016.0,Sep,29.0,440.0,"bazar, divulgação e tecnologias"
41,2016.0,Sep,29.0,8.6,"taxas, tarifas e impostos"
42,2016.0,Sep,30.0,213.9,ração e agropecuária
